Phylum,Bathyarchaeota  ,Crenarchaeota  ,Euryarchaeota  ,Thaumarchaeota  ,Acidobacteria  ,Actinobacteria  ,Alphaproteobacteria  ,Aquificae  ,Armatimonadetes  ,Bacteroidetes  ,Betaproteobacteria  ,Bipolaricaulota  ,Calditrichaeota  ,Chlamydiae  ,Chlorobi  ,Chloroflexi  ,Chrysiogenetes  ,Cloacimonetes  ,Cyanobacteria  ,Deferribacteres  ,Deinococcus-Thermus  ,Deltaproteobacteria  ,Dictyoglomi  ,Elusimicrobia  ,Epsilonproteobacteria  ,Firmicutes  ,Fusobacteria  ,Gammaproteobacteria  ,Gemmatimonadetes  ,Kiritimatiellaeota  ,Korarchaeota  ,Lentisphaerae  ,Melainabacteria  ,Nitrospirae  ,Peregrinibacteria  ,Planctomycetes  ,Saccharibacteria  ,Spirochaetes  ,Synergistetes  ,Tenericutes  ,Thermodesulfobacteria  ,Thermotogae  ,Verrucomicrobia  ,Ascomycetes  ,Basidiomycetes  ,Microsporidians  
ws1-T0,34,2,304,9,1645,4144,1287,44,10,260,951,0,32,5,164,1267,13,2,33,45,35,2295,7,5,5,2961,0,260,91,21,0,3,2,118,5,13,77,31,23,13,46,13,371,1,10,1
ws2-T0,42,4,282,8,1335,5563,676,39,18,221,490,0,29,0,80,1425,11,0,20,25,41,1996,9,2,2,3091,0,136,87,19,1,0,0,130,3,8,72,29,23,3,53,17,160,8,5,3
ws3-T0,40,1,111,8,1890,4719,1949,28,22,148,1495,0,25,5,85,1306,6,0,14,22,45,1922,0,13,7,2267,2,342,90,28,0,0,7,131,1,16,19,26,35,8,37,12,420,2,11,2
ws1-T4,51,2,396,1,1631,4380,1158,39,12,279,836,0,27,4,165,1268,5,2,18,28,32,2237,3,5,3,2600,0,270,49,17,0,0,0,120,10,16,73,39,22,12,36,17,338,2,5,0
ws2-T4,133,4,556,17,1542,4791,780,45,6,806,614,0,34,4,100,1620,8,0,22,47,30,2676,12,11,1,2814,0,182,128,13,1,0,2,140,1,27,162,39,27,5,58,22,236,3,6,5
ws3-T4,59,2,98,6,2058,3959,2284,53,21,278,1805,0,23,6,109,1490,7,0,20,31,25,1872,1,7,5,1718,3,542,79,78,0,0,5,146,0,36,27,17,18,12,26,6,843,3,5,0
ws1-T24,92,7,540,9,1702,3965,1110,39,11,599,882,0,48,3,228,1727,6,0,25,42,30,2524,6,5,0,2582,0,236,61,30,0,0,0,134,7,17,111,32,24,13,42,11,462,7,5,0
ws2-T24,42,1,256,4,1427,5059,884,37,12,227,797,0,19,3,48,1337,9,0,37,26,38,2037,6,7,0,2795,0,180,192,15,0,0,1,129,1,18,171,31,21,2,37,18,217,4,8,1
ws3-T24,20,0,23,0,2210,4161,2702,38,16,93,2038,0,25,8,60,1264,5,0,23,22,27,1958,2,6,3,1700,0,416,97,43,0,0,7,99,1,44,6,24,32,9,23,4,671,2,7,1
tuss1-T0,0,0,3,0,5695,5387,2245,28,5,72,290,7,0,16,0,46,3,0,28,9,12,734,0,0,5,701,0,1961,8,7,0,0,8,19,0,188,1,6,36,0,5,16,441,184,6,0
tuss2-T0,4,0,0,0,6082,5569,2217,15,3,57,276,2,0,15,1,42,0,0,20,2,7,675,0,0,0,571,0,1882,23,8,0,0,7,20,0,207,1,2,26,0,3,6,381,259,1,0
tuss1-T4,0,0,0,0,7785,2978,2667,58,5,125,278,4,3,16,0,33,4,0,5,10,11,753,0,0,5,840,0,1940,14,5,0,0,0,33,0,173,0,3,52,0,2,10,458,393,10,0
tuss2-T4,0,0,2,0,7012,4170,2729,20,5,41,276,2,2,14,1,35,0,0,30,8,15,687,0,0,0,673,0,2221,11,7,0,0,11,9,0,219,2,0,40,0,3,20,380,104,6,0
tuss1-T24,1,0,1,0,6644,4472,2785,32,8,80,307,3,0,12,1,51,4,0,18,24,6,659,0,0,2,649,0,2047,29,14,0,0,9,25,0,196,2,5,28,0,16,26,432,310,7,0
tuss3-T24,0,0,0,0,5557,3912,4841,15,6,65,875,1,0,17,2,77,0,0,25,16,5,1146,0,0,0,528,0,2307,18,21,0,0,8,2,0,161,0,9,29,3,3,19,645,32,1,0